UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm2.5_aqi_atm,pm2.5_aqi_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm2.5_aqi_atm_b,pm2.5_aqi_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2019/09/03T09:53:56z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,79,42,53.96,852.36,0,32680,31,30,20.79,28.36,33.07,20.07,28.29,33.07,2119.29,632.93,107.29,8.57,2,0.29,17.78,22.89,23.78,17.78,22.89,23.78,1730.33,564.22,94.44,2,0.44,0.44,,,,,
2019/09/03T09:55:16z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,79,41,53.3,852.34,0,32680,31,110,20.96,29.44,32.6,20.16,28.87,32.6,3651.4,1104.38,180.51,12.67,2.76,1.24,21.73,31.09,33.69,20.73,30.16,33.69,3778.2,1117.24,183.58,15.33,2.89,0.71,,,,,
2019/09/03T09:56:00z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,79,41,53.3,852.3,0,30944,31,30,19.13,26,30.47,18.93,26,30.47,1966.6,589.53,110.6,7.07,2,0.4,22.11,28.89,30.11,20.89,28.44,30.11,2539,732.56,121.11,2.67,0.44,0,,,,,
2019/09/03T09:57:20z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,79,41,53.3,852.26,0,30632,31,110,20.71,30.87,34.36,19.89,30.04,34.36,3669.47,1105.67,198.58,11.07,3.16,2.44,23.09,30.93,34.76,21.58,30.2,34.76,4041.07,1168.44,178.16,12.98,4.53,0.22,,,,,
2019/09/03T09:58:40z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,79,41,53.3,852.31,0,30944,31,190,20.33,30.42,35.38,19.8,29.8,35.38,3615.6,1083.62,188.36,15.2,5.2,2.89,22.53,30.04,35.4,21.2,29.42,35.4,3858.4,1130.73,176.29,15.6,5.42,1.33,,,,,
2019/09/03T10:00:00z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,80,41,54.2,852.21,0,30944,31,270,21.04,30.3,34.07,20.26,29.78,34.07,3613.43,1098.63,188.09,11.83,3.52,2.87,24.61,32.52,37.37,22.48,31.26,37.37,4200.98,1235.87,180.15,17.17,3.91,1.33,,,,,
2019/09/03T10:01:20z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,80,40,53.52,852.22,0,30944,31,350,22.98,31.93,36.41,21.67,31.02,36.41,3934.89,1172.63,183.98,15.04,4.83,2.96,25.38,35.02,38.4,22.87,32.69,38.4,4439.07,1284.87,204,14.27,3.11,0.22,,,,,
2019/09/03T10:02:40z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,80,40,53.52,852.24,0,30944,31,430,22.11,31.35,35.98,20.91,30.28,35.98,3909.65,1162.11,190.17,13.61,3.65,2.7,23.08,31.17,35.77,21.67,30.25,35.77,3987.25,1167.56,182.52,16.37,4.08,0.62,,,,,
2019/09/03T10:04:00z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,81,40,54.41,852.2,0,30944,31,510,20.61,28.15,31.72,19.98,28.04,31.72,3543.59,1077.07,183.15,9.26,3.13,1.35,24.15,34.64,37.6,22.23,32.53,37.57,4237.6,1224.74,198.94,15.19,3.45,0.17,,,,,
2019/09/03T10:05:20z,80:7d:3a:2b:d8:6d,3,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,81,39,53.72,852.18,0,30944,31,590,23.04,31.62,34.6,21.51,30.64,34.6,3936.89,1169.06,177.02,11.36,2.51,1.4,25.44,34.91,37.87,22.82,32.67,37.8,4430.13,1298.49,197.91,10.89,2.58,0.71,,,,,
