UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2019/09/12T00:00:27z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,67,52.82,851.41,0.00,30944,31,674,9.17,13.57,15.93,9.17,13.57,15.93,1776.78,512.59,81.65,7.57,2.35,1.96,10.18,14.82,16.60,10.18,14.82,16.60,1861.27,553.20,79.87,6.84,2.18,0.67
2019/09/12T00:01:44z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,67,52.82,851.40,0.00,30944,31,751,10.09,15.38,17.91,10.09,15.38,17.91,1937.53,573.56,93.67,7.33,1.91,0.71,10.93,14.64,16.53,10.93,14.64,16.53,1999.13,571.87,75.78,7.96,0.93,0.67
2019/09/12T00:02:19z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,65.00,67,53.78,851.53,0.00,30944,31,34,9.67,11.73,14.27,9.67,11.73,14.27,951.00,291.93,42.20,2.13,0.27,0.27,9.78,11.44,11.44,9.78,11.44,11.44,1157.67,328.56,29.33,0.00,0.00,0.00
2019/09/12T00:03:37z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,67,52.82,851.52,0.00,30944,31,111,9.91,13.84,18.51,9.91,13.84,18.51,1807.47,525.80,88.58,11.33,5.02,3.73,9.89,13.62,15.89,9.89,13.62,15.89,1850.87,520.33,77.13,7.47,2.62,0.62
2019/09/12T00:04:57z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,68,53.23,851.47,0.00,30944,31,191,9.84,13.20,15.29,9.84,13.20,15.29,1933.93,541.02,70.67,6.49,1.96,0.67,10.19,13.13,16.21,10.19,13.13,16.21,1915.53,540.47,63.40,10.51,2.60,0.62
2019/09/12T00:06:17z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,68,53.23,851.52,0.00,30944,31,271,11.37,16.30,17.91,11.37,16.30,17.91,2132.15,618.65,94.43,8.04,0.39,0.39,11.15,13.96,16.70,11.15,13.96,16.70,2082.59,582.46,64.00,9.30,1.91,0.61
2019/09/12T00:07:37z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,68,53.23,851.44,0.00,30944,31,351,12.15,15.79,18.37,12.15,15.79,18.37,2154.38,644.69,90.62,8.75,1.33,0.92,12.55,17.45,19.89,12.55,17.45,19.89,2303.36,679.06,93.30,9.45,2.47,0.61
2019/09/12T00:08:57z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,68,53.23,851.59,0.00,30944,31,431,12.07,17.24,19.36,12.07,17.24,19.36,2205.20,654.04,92.91,10.89,1.78,1.42,13.20,17.62,20.31,13.20,17.62,20.31,2426.40,697.42,102.80,11.47,1.91,0.61
2019/09/12T00:10:17z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,68,53.23,851.48,0.00,30944,31,511,13.34,19.98,24.25,13.34,19.98,24.25,2463.34,738.68,113.84,13.45,4.50,2.82,13.64,18.40,20.29,13.64,18.40,20.29,2449.13,695.80,98.11,8.44,1.87,1.24
2019/09/12T00:11:37z,80:7d:3a:2b:d8:6d,3.00,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003A+PMSX003B,64.00,68,53.23,851.57,0.00,30944,31,591,13.85,20.04,23.72,13.85,20.04,23.72,2460.19,748.34,116.43,11.15,2.04,0.98,13.61,18.61,19.85,13.61,18.61,19.85,2477.41,707.00,99.65,6.57,1.35,0.57
